County,Year,Total population,Male Total population,Female Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,
"Paulding County, Georgia",2011,139067,68066,71001,11125,11682,12377,10430,7510,9039,10569,11960,12933,10569,9039,7092,5006,3894,2503,1669,1113,834,
"Peach County, Georgia",2011,27349,13229,14120,1750,1668,1805,3227,2543,1586,1367,1614,1750,1996,1942,1832,1231,1067,820,492,356,356,
"Pickens County, Georgia",2011,29406,14565,14841,1706,2147,1706,1706,1470,1470,1617,2205,2088,2117,2117,1735,2676,1941,1059,735,412,529,
"Inyo County, California",2011,18457,9134,9323,1310,1421,1163,1310,1126,1052,1107,1071,1495,1218,1329,1218,1144,812,720,351,332,295,
"Pike County, Georgia",2011,17646,8634,9012,1041,1288,1606,1323,865,865,1112,1076,1588,1412,1200,918,1182,706,618,371,265,194,
"Polk County, Georgia",2011,41233,20376,20857,3257,3051,2928,2680,2886,2639,2392,2556,2804,3010,2845,2350,2144,1938,1237,1113,660,660,
"Pulaski County, Georgia",2011,11732,5159,6573,669,622,634,575,587,880,833,880,657,1009,1021,810,1150,481,270,246,223,164,
"Putnam County, Georgia",2011,21128,10480,10648,1162,1014,1416,1289,1225,1014,1099,1183,1352,1838,1458,1817,1585,1458,993,549,444,275,
"Quitman County, Georgia",2011,2489,1103,1386,197,122,139,231,231,72,87,197,117,139,132,154,187,162,92,77,97,55,
"Rabun County, Georgia",2011,16302,7971,8331,815,848,1027,994,717,880,880,864,1027,1109,1174,1239,1353,1027,913,571,538,326,
"Randolph County, Georgia",2011,7678,3468,4210,499,269,645,622,453,430,484,453,307,453,699,576,399,392,307,276,223,215,
"Richmond County, Georgia",2011,199100,96274,102826,14733,13738,12344,15331,18118,16525,12742,10951,12742,13539,13937,12543,9159,7168,5376,4181,3186,2389,
"Rockdale County, Georgia",2011,84303,40135,44168,5733,5986,6660,6829,5142,4721,4974,5901,6744,6744,5986,5311,4637,3288,1855,1770,1096,843,
"Schley County, Georgia",2011,4885,2303,2582,298,396,391,381,308,200,225,420,415,405,425,225,274,225,127,83,34,49,
"Screven County, Georgia",2011,14697,7040,7657,970,823,1117,1352,955,676,808,720,1043,1029,1102,926,1029,808,426,382,294,250,
"Seminole County, Georgia",2011,8784,4120,4664,474,483,764,659,457,290,439,457,553,685,685,738,483,483,439,220,237,237,
"Spalding County, Georgia",2011,63713,30773,32940,4715,4460,4396,4524,3950,4332,4014,4332,4269,4524,4460,3695,3759,2803,1975,1465,1147,828,
"Stephens County, Georgia",2011,25964,12412,13552,1610,1610,1895,2051,1480,1402,1194,1662,1714,1714,1869,1688,1869,1350,1039,571,649,597,
"Warren County, Georgia",2011,5887,3092,2795,312,336,377,459,306,312,283,412,447,489,400,389,318,324,200,171,124,230,
"Sumter County, Georgia",2011,32825,15644,17181,2298,2593,2068,2987,2823,2199,1871,1838,2068,2134,2101,1937,1773,1247,919,591,558,755,
"Talbot County, Georgia",2011,6879,3257,3622,385,488,337,537,199,371,282,598,351,488,640,660,454,248,275,303,193,69,
"Taliaferro County, Georgia",2011,1791,858,933,100,47,91,156,168,72,136,106,115,97,125,118,109,149,73,34,63,32,
"Tattnall County, Georgia",2011,24720,14316,10404,1533,1187,1706,1533,1903,1706,2398,1730,1829,1879,1755,1508,1112,865,865,470,420,272,
"Taylor County, Georgia",2011,8794,4355,4439,572,519,677,721,422,572,457,492,660,704,624,624,475,431,308,202,123,211,
"Telfair County, Georgia",2011,16177,9223,6954,922,809,890,1116,1084,1052,1149,1019,1634,1197,1165,1052,890,599,582,404,275,340,
"Terrell County, Georgia",2011,9530,4652,4878,696,610,677,743,610,524,467,629,505,705,724,639,600,486,334,162,172,238,
"Thomas County, Georgia",2011,44609,21236,23373,2944,3390,2900,3123,2498,2543,2453,2855,2944,3390,3256,3123,2409,1918,1784,1383,714,892,
"Tift County, Georgia",2011,40204,19340,20864,2975,3015,2694,3377,3257,2573,2573,2814,2171,2774,2613,2332,1930,1930,1045,884,764,523,
"Toombs County, Georgia",2011,27269,12828,14441,2291,2154,1963,2045,1554,1718,1909,1745,1554,1854,1882,1418,1582,1036,982,627,464,545,
"Towns County, Georgia",2011,10502,5015,5487,420,525,420,861,494,357,410,641,441,641,630,641,1040,914,798,546,357,368,
"Treutlen County, Georgia",2011,6846,3489,3357,493,507,466,356,363,534,397,664,493,294,534,466,377,253,219,240,68,116,
"Troup County, Georgia",2011,66422,31944,34478,4716,5247,4716,4982,4650,4118,3985,4450,4317,4782,4782,4052,3587,2590,1727,1594,996,1129,
"Turner County, Georgia",2011,8973,4438,4535,646,736,619,592,592,502,547,592,628,467,619,494,637,422,296,251,135,206,
"Twiggs County, Georgia",2011,9200,4501,4699,377,699,506,810,561,313,524,377,745,681,846,699,672,534,359,230,129,166,
"Union County, Georgia",2011,21217,10355,10862,870,1167,1103,1082,785,891,955,870,1422,1464,1528,1676,1973,1846,1443,955,679,509,
"Upson County, Georgia",2011,27235,12955,14280,1716,1416,2179,2070,1634,1389,1552,1498,2015,2043,2043,1825,1661,1253,1144,763,572,463,
"Walker County, Georgia",2011,68370,33405,34965,4171,5128,4102,4512,3692,3965,4444,4718,4649,4991,5128,4512,4171,3555,2256,2119,1231,957,
"Walton County, Georgia",2011,83003,40574,42429,5893,6142,6474,5644,4731,4897,5146,6059,6474,6474,5644,5561,4150,3403,2241,1826,1162,996,
"Ware County, Georgia",2011,36181,17940,18241,2460,2279,2424,2460,2460,2496,2098,2316,2316,2496,2533,2026,2316,1592,1266,1085,905,687,
"Warren County, Georgia",2011,5873,2722,3151,376,417,335,405,253,393,200,300,388,599,388,440,364,264,247,159,258,82,
"Washington County, Georgia",2011,21175,10640,10535,1398,1355,1334,1546,1376,1398,1249,1271,1503,1715,1630,1313,1228,953,635,466,487,360,
"Wayne County, Georgia",2011,29988,15662,14326,2099,2129,2069,1949,1799,1949,1979,2129,2189,2279,2159,1739,1739,1349,900,660,510,390,
"Webster County, Georgia",2011,2760,1297,1463,61,196,116,110,113,144,127,174,254,177,213,213,298,246,149,47,77,47,
"Wheeler County, Georgia",2011,7354,4904,2450,316,368,346,515,581,853,559,485,529,463,544,566,382,360,176,110,140,74,
"White County, Georgia",2011,26840,13400,13440,1584,1530,1691,1771,1691,1315,1342,1745,1771,2067,1906,1986,1852,1396,1396,859,564,429,
"Whitfield County, Georgia",2011,101234,50552,50682,8402,8301,7795,7289,6985,6884,6884,7390,6985,6884,6378,6175,4252,3644,2531,2328,1114,1316,
"Wilcox County, Georgia",2011,9131,5302,3829,502,457,530,639,548,685,667,657,712,676,630,612,493,420,274,274,128,228,
"Wilkes County, Georgia",2011,10485,5052,5433,482,734,640,755,451,556,608,545,786,744,692,797,734,734,367,241,304,315,
"Wilkinson County, Georgia",2011,9617,4580,5037,664,596,750,664,567,471,452,529,721,721,760,644,596,548,327,212,212,173,
"Worth County, Georgia",2011,21741,10433,11308,1500,1500,1435,1609,1413,1283,1000,1370,1478,1565,1652,1544,1304,978,891,500,283,413,
"Hawaii County, Hawaii",2011,182997,91760,91237,11712,10980,11712,12261,10797,11529,10431,10431,11163,12993,14823,15006,13176,8235,6039,4392,3843,3660,
"Honolulu County, Hawaii",2011,944287,472503,471784,61379,55713,57602,60434,72710,71766,61379,61379,65156,66100,64212,58546,52880,38716,29273,26440,21719,20774,
"Kalawao County, Hawaii",2011,57,35,22,0,0,0,0,0,3,2,5,2,1,3,7,10,0,7,5,12,0,
"Kauai County, Hawaii",2011,66306,33379,32927,4244,4310,3779,4177,3713,4045,3779,4111,4177,4973,5437,5371,4376,2917,2254,1658,1326,1591,
"Maui County, Hawaii",2011,152907,76892,76015,9939,9480,9786,9327,8410,10245,10092,10245,11009,11927,12233,11315,9939,5963,4587,2905,2752,2752,
"Ada County, Idaho",2011,388174,194560,193614,28337,29501,28337,26008,26008,29501,28337,27560,28337,27949,26396,22514,19409,12422,9316,6987,5434,5823,
"Adams County, Idaho",2011,3980,2058,1922,159,207,243,235,84,111,251,123,267,378,302,378,342,326,318,131,76,44,
"Bannock County, Idaho",2011,81730,40588,41142,6865,6130,6048,6211,7846,6293,5639,4413,4740,4740,5149,5149,3514,2615,2207,1880,1308,899,
"Bear Lake County, Idaho",2011,6013,2986,3027,397,469,493,373,331,277,349,295,313,409,457,325,451,301,283,222,126,162,
"Benewah County, Idaho",2011,9293,4762,4531,576,558,688,651,418,381,437,362,660,678,808,781,669,585,400,288,204,149,
"Bingham County, Idaho",2011,45002,22460,22542,4230,4320,3825,3780,2610,2790,2790,2790,2385,2835,2970,2655,1980,1575,1260,900,720,630,
"Blaine County, Idaho",2011,21354,11122,10232,1431,1345,1452,1217,1132,1174,1431,1409,1623,1922,1772,1751,1324,897,662,363,278,171,
"Boise County, Idaho",2011,7094,3706,3388,305,397,553,390,298,241,291,390,433,660,716,873,511,433,284,156,106,50,
"Bonner County, Idaho",2011,40849,20536,20313,2124,2369,2655,2614,1634,1920,2328,2206,2369,3105,3717,3676,3309,2573,1675,1225,735,654,
"Bonneville County, Idaho",2011,102422,51051,51371,9833,8911,8296,7682,6350,7682,7170,6350,5531,6760,6350,5736,4711,3380,2458,2151,1536,1536,
"Boundary County, Idaho",2011,10845,5457,5388,651,759,759,868,380,542,466,564,759,759,835,987,716,510,564,401,195,119,
"Butte County, Idaho",2011,2848,1363,1485,179,219,228,211,91,148,159,140,125,188,222,236,154,214,125,114,63,34,
"Camas County, Idaho",2011,1235,686,549,70,70,95,124,41,44,59,149,99,91,79,79,90,35,53,20,14,20,
"Canyon County, Idaho",2011,186620,92636,93984,17169,16609,16049,14556,12130,13063,13250,12317,11570,11570,10637,9704,8025,6532,4666,3359,2986,2426,
"Kane County, Utah",2011,6893,3528,3365,565,600,448,496,269,379,469,352,420,434,483,455,441,352,241,145,193,159,
"Cassia County, Idaho",2011,22491,11340,11151,2092,2002,2069,2024,1125,1394,1282,1327,1259,1349,1394,1304,1035,810,675,495,360,495,
"Clark County, Idaho",2011,847,442,405,106,58,43,63,40,45,38,54,22,75,83,71,24,35,57,24,6,3,
"Clearwater County, Idaho",2011,8753,4746,4007,333,420,464,438,411,420,455,481,481,718,709,744,788,508,621,289,298,175,
"Custer County, Idaho",2011,4313,2304,2009,229,220,246,276,203,233,194,302,272,211,401,358,440,220,155,104,168,78,
"Elmore County, Idaho",2011,26744,13858,12886,2487,1872,2059,1979,2674,2300,1712,1551,1738,1738,1605,1257,1150,829,776,481,241,321,
"Franklin County, Idaho",2011,12650,6450,6200,1189,1341,1214,1025,607,696,810,633,772,759,784,670,544,506,329,291,228,253,
"Colfax County, New Mexico",2011,13133,6737,6396,1156,1090,1129,1077,630,946,801,591,880,841,788,552,827,433,565,433,276,92,
"Gem County, Idaho",2011,16783,8464,8319,1057,1024,1208,1309,755,839,806,1024,906,1292,1276,1393,839,1074,604,621,386,386,
"Gooding County, Idaho",2011,15285,7884,7401,1238,1391,1131,1131,902,917,887,642,1177,902,1009,871,734,917,352,535,336,229,
"Idaho County, Idaho",2011,16108,8370,7738,838,838,1063,918,725,709,709,886,773,1160,1353,1450,1321,1063,934,580,403,387,
"Jefferson County, Idaho",2011,25291,12716,12575,2656,2428,2504,1897,1391,1720,1897,1593,1416,1543,1517,1290,961,910,556,481,253,253,
"Jerome County, Idaho",2011,21794,11102,10692,2092,1896,1744,1700,1438,1526,1373,1351,1286,1373,1395,1417,828,741,610,458,218,349,
"Kootenai County, Idaho",2011,137178,67566,69612,8779,9740,9465,9602,8231,8505,7819,8642,9054,9740,10014,8917,9054,6585,4527,3704,2606,2195,
"Latah County, Idaho",2011,36932,19124,17808,1957,1736,1994,3952,6906,2955,2031,1699,1847,2142,2253,2253,1514,1219,739,739,517,480,
"Lemhi County, Idaho",2011,7895,4000,3895,418,403,411,561,221,308,339,347,442,576,687,790,616,568,482,284,142,284,
"Lewis County, Idaho",2011,3785,1893,1892,204,189,223,303,163,155,144,148,212,284,344,318,246,276,216,151,132,76,
"Lincoln County, Idaho",2011,5106,2641,2465,429,414,541,342,403,286,317,266,271,342,337,357,291,148,97,97,123,36,
"Madison County, Idaho",2011,36984,17789,19195,3440,2478,2182,5622,9690,3513,1516,1331,1073,1183,1147,962,777,555,592,407,296,222,
"Minidoka County, Idaho",2011,19740,9990,9750,1619,1500,1619,1599,1105,1145,1165,928,1145,1362,1402,1066,1145,908,612,415,553,454,
"Nez Perce County, Idaho",2011,39088,19381,19707,2228,2384,2384,2658,2658,2502,2267,2033,2541,2697,2853,2619,2306,1759,1564,1134,1094,1368,
"Oneida County, Idaho",2011,4225,2183,2042,342,308,389,304,165,186,220,266,262,165,304,368,232,203,148,182,93,89,
"Owyhee County, Idaho",2011,11449,5921,5528,870,847,1065,870,767,515,721,653,779,767,721,756,607,538,343,218,195,229,
"Payette County, Idaho",2011,22596,11205,11391,1740,1672,1921,1695,1220,1220,1446,1265,1491,1559,1424,1469,1085,1130,791,633,339,520,
"Power County, Idaho",2011,7671,3878,3793,660,629,675,736,391,384,506,460,376,529,522,445,453,414,123,176,77,115,
"Shoshone County, Idaho",2011,12849,6483,6366,617,694,797,797,591,617,578,822,707,1002,1079,1054,989,861,565,398,424,244,
"Teton County, Idaho",2011,9786,5195,4591,910,1047,480,538,460,832,861,851,891,665,617,646,343,254,108,157,49,69,
"Twin Falls County, Idaho",2011,76129,37635,38494,6166,5938,5405,5481,5253,5405,4796,4339,4415,4872,5025,4263,4111,3045,2512,1903,1599,1523,
"Valley County, Idaho",2011,9877,5104,4773,533,494,602,622,316,474,583,395,800,741,928,909,909,593,454,237,178,99,
"Washington County, Idaho",2011,10153,5069,5084,538,518,904,751,305,518,508,670,538,599,792,802,761,579,508,376,234,274,
"Adams County, Illinois",2011,67045,32594,34451,4157,4224,4425,4559,4090,4023,3755,3956,3956,4894,4827,4425,3956,3218,2280,2145,1944,2145,
"Alexander County, Illinois",2011,8314,4051,4263,582,424,565,582,615,374,457,441,482,657,615,524,582,441,333,291,166,183,
"Bond County, Illinois",2011,17849,9036,8813,1071,1089,1000,1428,1571,946,982,964,1142,1428,1303,1267,857,857,589,500,411,411,
"Boone County, Illinois",2011,54084,27109,26975,3894,4813,4273,4327,2866,2704,3299,4381,3894,4056,3678,3191,2704,1947,1623,1136,811,595,
"Brown County, Illinois",2011,6897,4381,2516,276,248,379,331,545,628,697,503,628,566,490,462,297,269,179,172,83,138,
"Pulaski County, Virginia",2011,34963,17037,17926,2063,2238,2238,2343,1678,1888,1923,2063,2273,2517,2727,2657,2028,1643,1433,1224,1014,1014,
"Calhoun County, Illinois",2011,5093,2545,2548,270,306,316,290,280,239,250,295,341,387,397,362,341,270,280,188,132,148,
"Henry County, Kentucky",2011,15474,7716,7758,743,820,990,990,712,743,727,836,928,1176,1191,1238,1083,990,758,603,557,402,
"Cass County, Illinois",2011,13639,6923,6716,777,1118,927,968,737,846,791,982,859,982,887,1037,614,614,450,491,286,246,
"Champaign County, Illinois",2011,199443,99670,99773,11368,10570,9972,21141,34504,16354,12764,11368,9972,11169,11767,10371,8177,5784,4388,3789,3191,2792,
"Christian County, Illinois",2011,34897,17659,17238,2059,1954,2303,2373,2024,1954,1954,2129,2268,2722,2687,2164,2199,1605,1466,1221,872,977,
"Clark County, Illinois",2011,16442,8047,8395,888,1036,1151,1118,855,888,839,1003,1134,1299,1233,1151,904,987,526,493,543,411,
"Pennington County, Minnesota",2011,13862,6730,7132,887,873,915,887,693,790,707,832,901,1012,1081,929,901,693,527,499,388,374,
"Clinton County, Illinois",2011,37577,19384,18193,2142,2480,2367,2518,2217,2443,2518,2593,2630,3081,2931,2330,1841,1653,1052,1127,864,752,
"Coles County, Illinois",2011,53684,25738,27946,2738,2792,2631,6066,8643,3167,2631,2631,2684,3221,3436,3114,2469,2094,1611,1396,1127,1235,
"Cook County, Illinois",2011,5182969,2509506,2673463,342076,331710,342076,357625,367991,435369,393906,362808,352442,362808,352442,305795,248783,181404,139940,114025,93293,88110,
"Crawford County, Illinois",2011,19850,10063,9787,1012,1131,1151,1469,1231,1092,1052,1171,1350,1528,1608,1528,1092,1052,734,655,556,457,
"Cumberland County, Illinois",2011,11073,5512,5561,698,808,653,753,620,609,642,709,653,797,875,753,664,454,476,388,221,288,
"DeKalb County, Illinois",2011,104684,52260,52424,6490,6386,6490,10678,15807,7747,6490,6281,5967,6700,6072,5130,4397,2931,2408,1989,1361,1466,
"De Witt County, Illinois",2011,16635,8260,8375,932,1015,1048,1098,832,948,965,998,1148,1331,1331,1248,915,965,549,532,482,283,
"Douglas County, Illinois",2011,19958,9806,10152,1437,1337,1577,1277,1158,1197,1237,1337,1138,1377,1477,1277,1038,778,758,599,399,559,
"DuPage County, Illinois",2011,914224,448461,465763,57596,63081,65824,65824,54853,59425,57596,61253,68567,74966,73138,61253,47540,33826,21941,17370,14628,16456,
"Edgar County, Illinois",2011,18658,9059,9599,1101,1306,989,1194,952,1026,1045,1045,1175,1381,1474,1362,1138,821,914,746,541,410,
"Edwards County, Illinois",2011,6693,3319,3374,375,462,435,462,315,328,355,368,475,482,522,475,442,254,348,241,194,161,
"Effingham County, Illinois",2011,34229,17012,17217,2225,2088,2670,2464,2054,2122,1985,1951,2156,2738,2567,2328,1677,1472,1164,1061,650,856,
"Fayette County, Illinois",2011,22051,11500,10551,1279,1477,1323,1499,1411,1433,1367,1323,1544,1654,1632,1544,1058,1036,794,595,485,639,
"Ford County, Illinois",2011,14088,6818,7270,803,944,958,930,648,733,803,803,930,1057,1155,831,859,704,479,409,479,564,
"Franklin County, Illinois",2011,39540,19363,20177,2333,2451,2649,2610,2175,2135,2254,2372,2649,2768,2847,2689,2451,2096,1779,1423,989,989,
"Bennington County, Vermont",2011,37122,19037,18085,1967,2264,2153,2302,2005,2264,2376,2153,2599,2784,2747,2302,2487,1930,1374,1262,1039,1002,
"Gallatin County, Illinois",2011,5685,2795,2890,347,324,318,330,307,324,279,398,267,409,404,421,404,387,273,250,136,114,
"Greene County, Illinois",2011,13911,7035,6876,779,751,1029,960,751,765,807,849,904,1085,1113,932,779,682,529,487,278,417,
"Grundy County, Illinois",2011,49460,24570,24890,3611,3759,3808,3413,2720,3215,3462,3413,3907,3957,3462,2968,2374,1781,1286,989,643,791,
"Hamilton County, Illinois",2011,8441,4132,4309,498,549,540,532,405,490,464,355,599,574,633,523,599,414,439,304,236,262,
"Haywood County, Tennessee",2011,19155,9404,9751,1073,1130,1149,1245,862,1015,977,1015,1226,1417,1552,1494,1207,1073,843,766,517,575,
"Hardin County, Illinois",2011,4357,2278,2079,257,301,248,170,205,340,209,261,213,266,266,392,309,327,227,148,109,105,
"Woodruff County, Arkansas",2011,7379,3649,3730,317,362,480,413,376,369,332,295,531,612,642,605,531,509,325,266,280,118,
"Henry County, Illinois",2011,50465,25010,25455,3028,3583,3280,3633,2372,2624,2877,2776,3381,3785,3936,3583,3078,2574,1766,1716,1363,1110,
"Iroquois County, Illinois",2011,29901,14680,15221,1645,1944,2093,2063,1405,1495,1525,1615,2033,2272,2332,1973,1914,1555,1256,957,718,1106,
"Jackson County, Illinois",2011,59901,30385,29516,3055,2636,2995,6409,10962,5092,3175,2995,2995,3295,3354,3235,2815,1737,1737,1198,1018,1138,
"Jasper County, Illinois",2011,9735,4852,4883,565,691,535,633,516,555,565,448,711,808,779,711,574,448,360,409,253,175,
"Jefferson County, Illinois",2011,39032,20145,18887,2381,2381,2264,2693,2225,2576,2225,2459,2615,2849,3005,2498,2537,1835,1522,1054,859,1054,
"Jersey County, Illinois",2011,22972,11258,11714,1309,1286,1700,1700,1539,1286,1309,1401,1470,1838,1769,1677,1172,1011,896,735,505,413,
"Jo Daviess County, Illinois",2011,22709,11415,11294,1181,1226,1431,1294,999,1022,1113,1340,1181,1635,1771,1976,1726,1499,1181,1022,636,500,
"Jefferson Davis County, Mississippi",2011,12666,7100,5566,583,557,823,785,811,811,836,608,1089,963,937,798,912,747,532,393,253,215,
"Kane County, Illinois",2011,509622,254341,255281,40770,42299,40770,37712,29558,32616,35164,37712,39241,38731,34654,29048,22933,15289,11721,8664,6625,6115,
"Kankakee County, Illinois",2011,112895,55445,57450,7677,8016,8016,8806,7790,6999,6887,6774,7677,8128,7903,7225,5871,4629,3161,2709,2258,2145,
